2025-02-17 13:35:59,038 INFO    StreamThr :970288 [internal.py:wandb_internal():85] W&B internal server running at pid: 970288, started at: 2025-02-17 13:35:59.031089
2025-02-17 13:35:59,039 DEBUG   HandlerThread:970288 [handler.py:handle_request():158] handle_request: status
2025-02-17 13:35:59,084 INFO    WriterThread:970288 [datastore.py:open_for_write():87] open: /n/home00/sumedh/spmax_sae/experiments/expt19_separability_diffmag2/wandb/run-20250217_133558-l263jytd/run-l263jytd.wandb
2025-02-17 13:35:59,090 DEBUG   SenderThread:970288 [sender.py:send():379] send: header
2025-02-17 13:35:59,473 DEBUG   SenderThread:970288 [sender.py:send():379] send: run
2025-02-17 13:35:59,718 INFO    SenderThread:970288 [dir_watcher.py:__init__():211] watching files in: /n/home00/sumedh/spmax_sae/experiments/expt19_separability_diffmag2/wandb/run-20250217_133558-l263jytd/files
2025-02-17 13:35:59,718 INFO    SenderThread:970288 [sender.py:_start_run_threads():1188] run started: l263jytd with start time 1739817359.042098
2025-02-17 13:35:59,754 DEBUG   HandlerThread:970288 [handler.py:handle_request():158] handle_request: check_version
2025-02-17 13:35:59,755 DEBUG   SenderThread:970288 [sender.py:send_request():406] send_request: check_version
2025-02-17 13:35:59,832 DEBUG   HandlerThread:970288 [handler.py:handle_request():158] handle_request: run_start
2025-02-17 13:35:59,861 DEBUG   HandlerThread:970288 [system_info.py:__init__():26] System info init
2025-02-17 13:35:59,861 DEBUG   HandlerThread:970288 [system_info.py:__init__():41] System info init done
2025-02-17 13:35:59,861 INFO    HandlerThread:970288 [system_monitor.py:start():194] Starting system monitor
2025-02-17 13:35:59,861 INFO    SystemMonitor:970288 [system_monitor.py:_start():158] Starting system asset monitoring threads
2025-02-17 13:35:59,861 INFO    HandlerThread:970288 [system_monitor.py:probe():214] Collecting system info
2025-02-17 13:35:59,862 INFO    SystemMonitor:970288 [interfaces.py:start():188] Started cpu monitoring
2025-02-17 13:35:59,862 INFO    SystemMonitor:970288 [interfaces.py:start():188] Started disk monitoring
2025-02-17 13:35:59,862 INFO    SystemMonitor:970288 [interfaces.py:start():188] Started gpu monitoring
2025-02-17 13:35:59,863 INFO    SystemMonitor:970288 [interfaces.py:start():188] Started memory monitoring
2025-02-17 13:35:59,863 INFO    SystemMonitor:970288 [interfaces.py:start():188] Started network monitoring
2025-02-17 13:35:59,890 DEBUG   HandlerThread:970288 [system_info.py:probe():152] Probing system
2025-02-17 13:35:59,896 DEBUG   HandlerThread:970288 [system_info.py:_probe_git():137] Probing git
2025-02-17 13:36:00,029 DEBUG   HandlerThread:970288 [system_info.py:_probe_git():145] Probing git done
2025-02-17 13:36:00,029 DEBUG   HandlerThread:970288 [system_info.py:probe():200] Probing system done
